case_id,response_id,left_task_id,right_task_id,original_vote,left_agent_success,right_agent_success,both_agents_successful,task_description,duration_seconds,prolific_pid,recorded_date,left_gif_path,right_gif_path,left_prompt_output_path,right_prompt_output_path,gpt4o_preference,gpt4o_confidence,gpt4o_reasoning,gpt4o_agrees_with_original
03_05_2025_04_36_24_hCn_03_05_2025_04_36_24_DPn,R_3bTosQFDBqtDctM,03_05_2025_04_36_24_hCn,03_05_2025_04_36_24_DPn,Right,Yes,Yes,Yes,Provide me a list of 3-letter words that begin with the letter w,921,5f34731aaf13c1394166f29b,2025-05-02 22:48:51,FastChat/gifs/03_05_2025_04_36_24_hCn.gif,FastChat/gifs/03_05_2025_04_36_24_DPn.gif,FastChat/prompts_and_outputs/03_05_2025_04_36_24_hCn.json,FastChat/prompts_and_outputs/03_05_2025_04_36_24_DPn.json,,,,
03_05_2025_04_39_44_lfl_03_05_2025_04_39_44_LpZ,R_5WTsQMyixQ131gQ,03_05_2025_04_39_44_lfl,03_05_2025_04_39_44_LpZ,Left,Yes,Yes,Yes,Give me a list of PS5 games that are on sale on the American PSN right now.,1406,6719637f62cec965e1fcb4fa,2025-05-02 22:56:04,FastChat/gifs/03_05_2025_04_39_44_lfl.gif,FastChat/gifs/03_05_2025_04_39_44_LpZ.gif,FastChat/prompts_and_outputs/03_05_2025_04_39_44_lfl.json,FastChat/prompts_and_outputs/03_05_2025_04_39_44_LpZ.json,,,,
03_05_2025_04_41_09_Gqg_03_05_2025_04_41_09_QzZ,R_8vdfcNt0UYCu4mW,03_05_2025_04_41_09_Gqg,03_05_2025_04_41_09_QzZ,Right,Yes,Yes,Yes,I’m feeling really overwhelmed lately with school and personal stuff. I was wondering if the university counseling unit can help with that?,1147,67d7ef67392ea169a7d970a8,2025-05-02 22:58:43,FastChat/gifs/03_05_2025_04_41_09_Gqg.gif,FastChat/gifs/03_05_2025_04_41_09_QzZ.gif,FastChat/prompts_and_outputs/03_05_2025_04_41_09_Gqg.json,FastChat/prompts_and_outputs/03_05_2025_04_41_09_QzZ.json,,,,
03_05_2025_20_57_54_VhL_03_05_2025_20_57_54_dkz,R_5oaK9CRQgLCO0GM,03_05_2025_20_57_54_VhL,03_05_2025_20_57_54_dkz,Right,Yes,Yes,Yes,Compare hotel prices for Caesar Palace in Las Vegas across different hotel booking websites. ,1330,66c0e527746d984d9bff5f3f,2025-05-03 15:14:59,FastChat/gifs/03_05_2025_20_57_54_VhL.gif,FastChat/gifs/03_05_2025_20_57_54_dkz.gif,FastChat/prompts_and_outputs/03_05_2025_20_57_54_VhL.json,FastChat/prompts_and_outputs/03_05_2025_20_57_54_dkz.json,,,,
03_05_2025_20_57_58_Nih_03_05_2025_20_57_58_cSG,R_12q2HjAaDmMM8AV,03_05_2025_20_57_58_Nih,03_05_2025_20_57_58_cSG,Right,Yes,Yes,Yes,"Which summer dresses are the most popular currently in the high street shops? Please show me the  top 10, under £50.",1402,612adba08b8235b31539c704,2025-05-03 15:16:13,FastChat/gifs/03_05_2025_20_57_58_Nih.gif,FastChat/gifs/03_05_2025_20_57_58_cSG.gif,FastChat/prompts_and_outputs/03_05_2025_20_57_58_Nih.json,FastChat/prompts_and_outputs/03_05_2025_20_57_58_cSG.json,,,,
03_05_2025_21_08_57_AQd_03_05_2025_21_08_57_Imc,R_2rChKyQxW6CsarA,03_05_2025_21_08_57_AQd,03_05_2025_21_08_57_Imc,Right,Yes,Yes,Yes,What is the lowest critic review score for Octopath Traveler on Metacritic?,1986,63d190d52bb71e0e81d868f2,2025-05-03 15:34:37,FastChat/gifs/03_05_2025_21_08_57_AQd.gif,FastChat/gifs/03_05_2025_21_08_57_Imc.gif,FastChat/prompts_and_outputs/03_05_2025_21_08_57_AQd.json,FastChat/prompts_and_outputs/03_05_2025_21_08_57_Imc.json,,,,
03_05_2025_21_22_53_VdC_03_05_2025_21_22_53_yqc,R_3CoVwnGK8hAuDuQ,03_05_2025_21_22_53_VdC,03_05_2025_21_22_53_yqc,Left,Yes,Yes,Yes,Compare the stats of C Ronaldo and Lionel Messi,3285,67e6b4c78b8b457f3bc6a866,2025-05-03 16:06:40,FastChat/gifs/03_05_2025_21_22_53_VdC.gif,FastChat/gifs/03_05_2025_21_22_53_yqc.gif,FastChat/prompts_and_outputs/03_05_2025_21_22_53_VdC.json,FastChat/prompts_and_outputs/03_05_2025_21_22_53_yqc.json,,,,
07_05_2025_04_30_10_HuX_07_05_2025_04_30_10_Auk,R_7fxjid81FRxhXsO,07_05_2025_04_30_10_HuX,07_05_2025_04_30_10_Auk,Right,Yes,Yes,Yes,What is the top 10 selling album currently on apple music?,2238,67d2184896b0a15484e937da,2025-05-06 23:00:36,FastChat/gifs/07_05_2025_04_30_10_HuX.gif,FastChat/gifs/07_05_2025_04_30_10_Auk.gif,FastChat/prompts_and_outputs/07_05_2025_04_30_10_HuX.json,FastChat/prompts_and_outputs/07_05_2025_04_30_10_Auk.json,,,,
07_05_2025_04_32_00_JSV_07_05_2025_04_32_00_iTj,R_6R8uBMWyaOBq4iV,07_05_2025_04_32_00_JSV,07_05_2025_04_32_00_iTj,Left,Yes,Yes,Yes,What are the top 10 songs on Spotify today?,2473,5cbe04b4f429ff00159de30e,2025-05-06 23:06:20,FastChat/gifs/07_05_2025_04_32_00_JSV.gif,FastChat/gifs/07_05_2025_04_32_00_iTj.gif,FastChat/prompts_and_outputs/07_05_2025_04_32_00_JSV.json,FastChat/prompts_and_outputs/07_05_2025_04_32_00_iTj.json,,,,
07_05_2025_15_10_56_EiU_07_05_2025_15_10_56_hQu,R_6Nt89OLCdLufee1,07_05_2025_15_10_56_EiU,07_05_2025_15_10_56_hQu,Left,Yes,Yes,Yes,visit the New York Times homepage and summarize the main story currently featured at the top of the page,1866,67edb211a7c1d23c1535d6b2,2025-05-07 09:29:31,FastChat/gifs/07_05_2025_15_10_56_EiU.gif,FastChat/gifs/07_05_2025_15_10_56_hQu.gif,FastChat/prompts_and_outputs/07_05_2025_15_10_56_EiU.json,FastChat/prompts_and_outputs/07_05_2025_15_10_56_hQu.json,,,,
