case_id,response_id,left_task,right_task,original_vote,gpt4o_preference,gpt4o_confidence,gpt4o_reasoning,left_analysis,right_analysis,timestamp,both_agents_successful
03_05_2025_04_36_24_hCn_03_05_2025_04_36_24_DPn,R_3bTosQFDBqtDctM,03_05_2025_04_36_24_hCn,03_05_2025_04_36_24_DPn,Right,error,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,,2025-07-23T10:11:04.894267,True
03_05_2025_04_39_44_lfl_03_05_2025_04_39_44_LpZ,R_5WTsQMyixQ131gQ,03_05_2025_04_39_44_lfl,03_05_2025_04_39_44_LpZ,Left,error,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,,2025-07-23T10:11:07.157471,True
03_05_2025_04_41_09_Gqg_03_05_2025_04_41_09_QzZ,R_8vdfcNt0UYCu4mW,03_05_2025_04_41_09_Gqg,03_05_2025_04_41_09_QzZ,Right,error,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,,2025-07-23T10:11:09.366273,True
03_05_2025_20_57_54_VhL_03_05_2025_20_57_54_dkz,R_5oaK9CRQgLCO0GM,03_05_2025_20_57_54_VhL,03_05_2025_20_57_54_dkz,Right,error,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,,2025-07-23T10:11:11.506887,True
03_05_2025_20_57_58_Nih_03_05_2025_20_57_58_cSG,R_12q2HjAaDmMM8AV,03_05_2025_20_57_58_Nih,03_05_2025_20_57_58_cSG,Right,error,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,,2025-07-23T10:11:13.740295,True
03_05_2025_21_08_57_AQd_03_05_2025_21_08_57_Imc,R_2rChKyQxW6CsarA,03_05_2025_21_08_57_AQd,03_05_2025_21_08_57_Imc,Right,error,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,,2025-07-23T10:11:17.917065,True
03_05_2025_21_22_53_VdC_03_05_2025_21_22_53_yqc,R_3CoVwnGK8hAuDuQ,03_05_2025_21_22_53_VdC,03_05_2025_21_22_53_yqc,Left,error,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,,2025-07-23T10:11:20.263014,True
07_05_2025_04_30_10_HuX_07_05_2025_04_30_10_Auk,R_7fxjid81FRxhXsO,07_05_2025_04_30_10_HuX,07_05_2025_04_30_10_Auk,Right,error,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,,2025-07-23T10:11:22.517337,True
07_05_2025_04_32_00_JSV_07_05_2025_04_32_00_iTj,R_6R8uBMWyaOBq4iV,07_05_2025_04_32_00_JSV,07_05_2025_04_32_00_iTj,Left,error,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,,2025-07-23T10:11:24.712004,True
07_05_2025_15_10_56_EiU_07_05_2025_15_10_56_hQu,R_6Nt89OLCdLufee1,07_05_2025_15_10_56_EiU,07_05_2025_15_10_56_hQu,Left,error,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,,2025-07-23T10:11:26.929454,True
