case_id,left_task_id,right_task_id,normalized_vote,task_description,has_gif_files,has_json_files,ready_for_evaluation
03_05_2025_04_36_24_hCn_03_05_2025_04_36_24_DPn,03_05_2025_04_36_24_hCn,03_05_2025_04_36_24_DPn,Right,Provide me a list of 3-letter words that begin with the letter w,True,True,True
03_05_2025_04_39_44_lfl_03_05_2025_04_39_44_LpZ,03_05_2025_04_39_44_lfl,03_05_2025_04_39_44_LpZ,Left,Give me a list of PS5 games that are on sale on the American PSN right now.,True,True,True
03_05_2025_04_41_09_Gqg_03_05_2025_04_41_09_QzZ,03_05_2025_04_41_09_Gqg,03_05_2025_04_41_09_QzZ,Right,I’m feeling really overwhelmed lately with school and personal stuff. I was wondering if the university counseling unit can help with that?,True,True,True
03_05_2025_20_57_54_VhL_03_05_2025_20_57_54_dkz,03_05_2025_20_57_54_VhL,03_05_2025_20_57_54_dkz,Right,Compare hotel prices for Caesar Palace in Las Vegas across different hotel booking websites. ,True,True,True
03_05_2025_20_57_58_Nih_03_05_2025_20_57_58_cSG,03_05_2025_20_57_58_Nih,03_05_2025_20_57_58_cSG,Right,"Which summer dresses are the most popular currently in the high street shops? Please show me the  top 10, under £50.",True,True,True
03_05_2025_21_08_57_AQd_03_05_2025_21_08_57_Imc,03_05_2025_21_08_57_AQd,03_05_2025_21_08_57_Imc,Right,What is the lowest critic review score for Octopath Traveler on Metacritic?,True,True,True
03_05_2025_21_22_53_VdC_03_05_2025_21_22_53_yqc,03_05_2025_21_22_53_VdC,03_05_2025_21_22_53_yqc,Left,Compare the stats of C Ronaldo and Lionel Messi,True,True,True
07_05_2025_04_30_10_HuX_07_05_2025_04_30_10_Auk,07_05_2025_04_30_10_HuX,07_05_2025_04_30_10_Auk,Right,What is the top 10 selling album currently on apple music?,True,True,True
07_05_2025_04_32_00_JSV_07_05_2025_04_32_00_iTj,07_05_2025_04_32_00_JSV,07_05_2025_04_32_00_iTj,Left,What are the top 10 songs on Spotify today?,True,True,True
07_05_2025_15_10_56_EiU_07_05_2025_15_10_56_hQu,07_05_2025_15_10_56_EiU,07_05_2025_15_10_56_hQu,Left,visit the New York Times homepage and summarize the main story currently featured at the top of the page,True,True,True
07_05_2025_15_13_54_flC_07_05_2025_15_13_54_ndq,07_05_2025_15_13_54_flC,07_05_2025_15_13_54_ndq,Right,Check the cheapest plane ticket on the different airline websites for flying from California to Michigan for travelling on Saturday 10th May,True,True,True
07_05_2025_15_28_05_yOU_07_05_2025_15_28_05_EbZ,07_05_2025_15_28_05_yOU,07_05_2025_15_28_05_EbZ,Right,What is the hottest weather report in the UK today from BBC weather?,True,True,True
07_05_2025_15_14_22_iEe_07_05_2025_15_14_22_SRU,07_05_2025_15_14_22_iEe,07_05_2025_15_14_22_SRU,Left,Provide a list of the top ten ranked hotels in California,True,True,True
07_05_2025_15_45_37_FDR_07_05_2025_15_45_37_RfJ,07_05_2025_15_45_37_FDR,07_05_2025_15_45_37_RfJ,Left,Find the top-rated laptop under $1000 on BestBuy.com and summarize its key features,True,True,True
07_05_2025_15_41_55_LST_07_05_2025_15_41_55_OKo,07_05_2025_15_41_55_LST,07_05_2025_15_41_55_OKo,Left,"Please compare the cost of flights between Toronto, Canada and London, England across different sites, including baggage charges.",True,True,True
07_05_2025_17_17_20_xqV_07_05_2025_17_17_20_jBO,07_05_2025_17_17_20_xqV,07_05_2025_17_17_20_jBO,Tie,Go to Amazon.com and find the three best-rated unlocked smartphones under £200,True,True,True
07_05_2025_17_43_01_THR_07_05_2025_17_43_01_aZt,07_05_2025_17_43_01_THR,07_05_2025_17_43_01_aZt,Right,Go to BBC.com and summarize the top story featured on their homepage today. Include the headline and a short description of what the article is about. Make sure to click through to the full article to...,True,True,True
07_05_2025_18_12_48_HXx_07_05_2025_18_12_48_NLl,07_05_2025_18_12_48_HXx,07_05_2025_18_12_48_NLl,Right,Create a list of NBA Basketball MVPs sorted in teams.,True,True,True
07_05_2025_18_43_04_XGu_07_05_2025_18_43_04_ppN,07_05_2025_18_43_04_XGu,07_05_2025_18_43_04_ppN,Left,"Create a list of the top 10 darts players in the United Kingdom, including their win rates",True,True,True
07_05_2025_18_47_35_WyF_07_05_2025_18_47_35_nMx,07_05_2025_18_47_35_WyF,07_05_2025_18_47_35_nMx,Right,Compare the prices of the latest NVIDIA and AMD graphic cards (UK stores only).,True,True,True
09_05_2025_19_54_50_EpN_09_05_2025_19_54_50_ZIp,09_05_2025_19_54_50_EpN,09_05_2025_19_54_50_ZIp,Left,Go to the Guardian's website and give me a summary of today's news.,True,True,True
09_05_2025_19_57_33_HgY_09_05_2025_19_57_33_CFM,09_05_2025_19_57_33_HgY,09_05_2025_19_57_33_CFM,Left,Name the Top 10 headlines from BBC News,True,True,True
09_05_2025_20_13_59_XFw_09_05_2025_20_13_59_wLl,09_05_2025_20_13_59_XFw,09_05_2025_20_13_59_wLl,Left,What are the today's top headlines from Fox News?,True,True,True
09_05_2025_20_11_09_SCY_09_05_2025_20_11_09_FrD,09_05_2025_20_11_09_SCY,09_05_2025_20_11_09_FrD,Left,"Please provide a list of the types of boats that can be rented at Piney Run Park in Eldersburg, Maryland and include the hourly rate. ",True,True,True
09_05_2025_21_21_06_MSm_09_05_2025_21_21_06_kAA,09_05_2025_21_21_06_MSm,09_05_2025_21_21_06_kAA,Left,What are the first 5 video titles on youtube homepage?,True,True,True
09_05_2025_21_28_12_OnA_09_05_2025_21_28_12_RJD,09_05_2025_21_28_12_OnA,09_05_2025_21_28_12_RJD,Left,Check all ticket touting websites and find the cheapest ticket I can get to Man City vs Bournemouth on the 20th of May,True,True,True
09_05_2025_21_53_08_Zvg_09_05_2025_21_53_08_BHP,09_05_2025_21_53_08_Zvg,09_05_2025_21_53_08_BHP,Right,What is the best Arcade Fire albums listed from best to worst?,True,True,True
09_05_2025_21_36_59_crp_09_05_2025_21_36_59_AvQ,09_05_2025_21_36_59_crp,09_05_2025_21_36_59_AvQ,Left,"give me a recipe for making pasta with cheese from the top 3 cooking websites, make it environmentally sustainable.",True,True,True
09_05_2025_21_40_30_XjR_09_05_2025_21_40_30_YEs,09_05_2025_21_40_30_XjR,09_05_2025_21_40_30_YEs,Left,List out the symptoms of Vitamin D deficiency from WebMd and any other medical website,True,True,True
09_05_2025_21_41_14_YwM_09_05_2025_21_41_14_DvE,09_05_2025_21_41_14_YwM,09_05_2025_21_41_14_DvE,Left,Tell me different Plane ticket price from different websites for a one way trip from Ontario to Ottawa ,True,True,True
09_05_2025_21_42_45_OpM_09_05_2025_21_42_45_IxH,09_05_2025_21_42_45_OpM,09_05_2025_21_42_45_IxH,Left,Give me a list and details of trending cars on Wikipedia.,True,True,True
09_05_2025_22_39_53_FuI_09_05_2025_22_39_53_htb,09_05_2025_22_39_53_FuI,09_05_2025_22_39_53_htb,Left,Give me a summary of this week's best-selling crypto coins.,True,True,True
09_05_2025_23_54_56_qXn_09_05_2025_23_54_56_lGf,09_05_2025_23_54_56_qXn,09_05_2025_23_54_56_lGf,Left,"With Leeds United recent promotion to the Premier League, give me five new players that Leeds should look at recruiting for next season.",True,True,True
09_05_2025_23_51_28_cJD_09_05_2025_23_51_28_LOj,09_05_2025_23_51_28_cJD,09_05_2025_23_51_28_LOj,Right,"Can you find me the shortest and most comfortable flight from Show Low, AZ to Wellington, New Zealand?",True,True,True
10_05_2025_00_01_48_pTG_10_05_2025_00_01_48_LVO,10_05_2025_00_01_48_pTG,10_05_2025_00_01_48_LVO,Right,What are today's top 5 political news in UK,True,True,True
10_05_2025_00_00_27_IAX_10_05_2025_00_00_27_TVe,10_05_2025_00_00_27_IAX,10_05_2025_00_00_27_TVe,Tie,What are today's top 10 most popular articles on buzzfeed?,True,True,True
10_05_2025_00_21_07_kiE_10_05_2025_00_21_07_EWr,10_05_2025_00_21_07_kiE,10_05_2025_00_21_07_EWr,Left,"Write me 5 sentences in Ukrainian language using the verb ""to lie"".",True,True,True
10_05_2025_00_52_29_AYh_10_05_2025_00_52_29_BZG,10_05_2025_00_52_29_AYh,10_05_2025_00_52_29_BZG,Right,Give me a summary of current measures in place to curb climate change in United states.,True,True,True
10_05_2025_01_17_27_zKf_10_05_2025_01_17_27_KXl,10_05_2025_01_17_27_zKf,10_05_2025_01_17_27_KXl,Right,create a list of the current Stanley Cup playoff match ups.,True,True,True
10_05_2025_01_14_08_PHv_10_05_2025_01_14_08_RLX,10_05_2025_01_14_08_PHv,10_05_2025_01_14_08_RLX,Left,Find the titles and authors of the top 3 bestselling fiction books on Amazon's homepage today.,True,True,True
10_05_2025_01_06_39_yrs_10_05_2025_01_06_39_PrQ,10_05_2025_01_06_39_yrs,10_05_2025_01_06_39_PrQ,Left,gifts under $25 for mother's day,True,True,True
10_05_2025_01_37_05_xIM_10_05_2025_01_37_05_jxR,10_05_2025_01_37_05_xIM,10_05_2025_01_37_05_jxR,Right,Go to the New York Times website and find the most recent op-ed article related to climate change. Summarize the main argument of the piece.,True,True,True
10_05_2025_02_04_43_gWk_10_05_2025_02_04_43_lFr,10_05_2025_02_04_43_gWk,10_05_2025_02_04_43_lFr,Right,"Check the IKEA website and find three coffee tables priced under $150 that are available for delivery. Write down their names, prices and one unique feature or material for each. ",True,True,True
10_05_2025_03_16_40_dQm_10_05_2025_03_16_40_fSK,10_05_2025_03_16_40_dQm,10_05_2025_03_16_40_fSK,Left,what are the fastest-growing tech startups in Toronto?,True,True,True
10_05_2025_03_33_17_FeF_10_05_2025_03_33_17_MBI,10_05_2025_03_33_17_FeF,10_05_2025_03_33_17_MBI,Left,What is the cheapest Hertz car rental currently available from anywhere in Portland Oregon for May 14 12:00 PM to May 16 12:00 PM?,True,True,True
10_05_2025_03_41_38_tUR_10_05_2025_03_41_38_ygE,10_05_2025_03_41_38_tUR,10_05_2025_03_41_38_ygE,Right,what are today's top 10 sports news headlines,True,True,True
10_05_2025_03_50_52_aUr_10_05_2025_03_50_52_mxm,10_05_2025_03_50_52_aUr,10_05_2025_03_50_52_mxm,Right,"Visit different running websites and compare running hats for men and find an option that has a fun design, is primarily white, and has sun protection.",True,True,True
11_05_2025_04_22_35_TKg_11_05_2025_04_22_35_YOe,11_05_2025_04_22_35_TKg,11_05_2025_04_22_35_YOe,Right,List the name of the top-grossing films of the 2010s from Wikipedia in order from highest-grossing to least.,True,True,True
11_05_2025_04_28_09_hSQ_11_05_2025_04_28_09_efj,11_05_2025_04_28_09_hSQ,11_05_2025_04_28_09_efj,Left,Please provide me with the top 5 articles which are displayed on stuff nz homepage,True,True,True
11_05_2025_04_18_25_WsH_11_05_2025_04_18_25_ZyS,11_05_2025_04_18_25_WsH,11_05_2025_04_18_25_ZyS,Right,"What are the propabilities of the Federal reserve cutting rates one, two, or three times in 2025 and what are the odds of when will they do it",True,True,True
11_05_2025_04_31_42_NTW_11_05_2025_04_31_42_xwx,11_05_2025_04_31_42_NTW,11_05_2025_04_31_42_xwx,Left,"Give me a detailed breakdown of the next 10 professional combat sports (other than professional wrestling)events in Florida and in Colorado. Include prices, cheapest, best value, and most expensive fo...",True,True,True
11_05_2025_06_07_59_mKb_11_05_2025_06_07_59_UZs,11_05_2025_06_07_59_mKb,11_05_2025_06_07_59_UZs,Left,I want to ask which guitar is recommended for beginners on the acousticguitarforum.com,True,True,True
11_05_2025_06_10_26_Lck_11_05_2025_06_10_26_QpD,11_05_2025_06_10_26_Lck,11_05_2025_06_10_26_QpD,Left,Go to nba.com and compile a list of the top 10 NBA players with the most points scored over the past week.,True,True,True
11_05_2025_06_12_22_ScT_11_05_2025_06_12_22_GuP,11_05_2025_06_12_22_ScT,11_05_2025_06_12_22_GuP,Left,"Go to the BBC News homepage, in the ''World' section, and list the top 5 headlines currently featured there.",True,True,True
11_05_2025_06_38_30_pBK_11_05_2025_06_38_30_Yxu,11_05_2025_06_38_30_pBK,11_05_2025_06_38_30_Yxu,Left,Who is the richest musician in the united states,True,True,True
11_05_2025_06_23_26_pIG_11_05_2025_06_23_26_uTs,11_05_2025_06_23_26_pIG,11_05_2025_06_23_26_uTs,Right,Compare the flight price for a round trip ticket from Los Angeles to Tokyo next Sunday on different ticket purchasing websites.,True,True,True
11_05_2025_06_47_08_gAp_11_05_2025_06_47_08_Erz,11_05_2025_06_47_08_gAp,11_05_2025_06_47_08_Erz,Left,"Find the top 5 most expensive books currently listed on AbeBooks.com and provide their titles, authors, and prices. Then compare these prices with listings for the same books on BookFinder.com if avai...",True,True,True
11_05_2025_07_25_13_oaF_11_05_2025_07_25_13_Hoh,11_05_2025_07_25_13_oaF,11_05_2025_07_25_13_Hoh,Right,What are the top 10 best family friendly restaurants in the Sondrio area of Italy?,True,True,True
11_05_2025_07_39_21_Zvc_11_05_2025_07_39_21_INb,11_05_2025_07_39_21_Zvc,11_05_2025_07_39_21_INb,Left,Tell me the exact times and prices for trains leaving West Byfleet Station for London Waterloo next Sunday around 9am on www.nationalrail.co.uk,True,True,True
11_05_2025_05_43_38_Axf_11_05_2025_05_43_38_xXO,11_05_2025_05_43_38_Axf,11_05_2025_05_43_38_xXO,Left,Compare the plane ticket planes price for round trip airfare from New York To Hawaii on different plane ticket purchasing websites. ,True,True,True
11_05_2025_08_38_16_sbS_11_05_2025_08_38_16_UpM,11_05_2025_08_38_16_sbS,11_05_2025_08_38_16_UpM,Left,Compare the specifications of smartphones on the honor magic 7 pro to the Iqoo 13. ,True,True,True
11_05_2025_14_19_12_TeJ_11_05_2025_14_19_12_veF,11_05_2025_14_19_12_TeJ,11_05_2025_14_19_12_veF,Right,What is the best rated Samsung TV according to which?,True,True,True
11_05_2025_14_25_19_YhJ_11_05_2025_14_25_19_FIv,11_05_2025_14_25_19_YhJ,11_05_2025_14_25_19_FIv,Right,what are today's top 10 sports news headlines,True,True,True
11_05_2025_14_22_03_XJs_11_05_2025_14_22_03_UuM,11_05_2025_14_22_03_XJs,11_05_2025_14_22_03_UuM,Left,give me the list of the last ten national teams to win the world cup,True,True,True
11_05_2025_14_47_18_Era_11_05_2025_14_47_18_ZxX,11_05_2025_14_47_18_Era,11_05_2025_14_47_18_ZxX,Right,What are the 10 ways to save the planet while gardening according to rhs.org.uk?,True,True,True
11_05_2025_14_32_29_BvX_11_05_2025_14_32_29_iUd,11_05_2025_14_32_29_BvX,11_05_2025_14_32_29_iUd,Right,What are the top 20 rarest vintage bottle caps in the world?,True,True,True
11_05_2025_16_37_10_TjY_11_05_2025_16_37_10_Qis,11_05_2025_16_37_10_TjY,11_05_2025_16_37_10_Qis,Left,"Go to Amazon.com, search for '4K TVs,' sort by 'Avg. Customer Reviews,' and list the top 5 models along with their star ratings and prices.",True,True,True
11_05_2025_16_33_04_asV_11_05_2025_16_33_04_ERr,11_05_2025_16_33_04_asV,11_05_2025_16_33_04_ERr,Right,Make me a list of the top most played heroes in Overwatch 2,True,True,True
11_05_2025_16_36_02_yKE_11_05_2025_16_36_02_Exa,11_05_2025_16_36_02_yKE,11_05_2025_16_36_02_Exa,Right,Please identify which famous person is mentioned the most in BBC articles today using bbc.co.uk,True,True,True
11_05_2025_17_06_51_Omm_11_05_2025_17_06_51_uKJ,11_05_2025_17_06_51_Omm,11_05_2025_17_06_51_uKJ,Right,Yes - text was produced showing the agent working through the task,True,True,True
11_05_2025_17_35_23_AUA_11_05_2025_17_35_23_ErL,11_05_2025_17_35_23_AUA,11_05_2025_17_35_23_ErL,Right,provide me 4 list of journal on wood treatment ,True,True,True
11_05_2025_17_51_33_HXH_11_05_2025_17_51_33_qse,11_05_2025_17_51_33_HXH,11_05_2025_17_51_33_qse,Right,List all the UK airports fly that internationally,True,True,True
11_05_2025_18_05_49_bNN_11_05_2025_18_05_49_qWj,11_05_2025_18_05_49_bNN,11_05_2025_18_05_49_qWj,Left,What are the top 10 Rides at alton towers for families ranging from ages 2 to adults?,True,True,True
12_05_2025_03_54_21_KhV_12_05_2025_03_54_21_dPl,12_05_2025_03_54_21_KhV,12_05_2025_03_54_21_dPl,Left,"How many nonstop flights to Las Vegas depart from Portland, Oregon every day and what airlines operate them?",True,True,True
12_05_2025_03_47_09_Uhi_12_05_2025_03_47_09_SDo,12_05_2025_03_47_09_Uhi,12_05_2025_03_47_09_SDo,Right,"Compare flight prices from Washington DC to Paris, France vs Washington DC to Kyoto Japan in 2025",True,True,True
12_05_2025_03_56_29_aty_12_05_2025_03_56_29_nGd,12_05_2025_03_56_29_aty,12_05_2025_03_56_29_nGd,Left,"Go to Etsy.com, browse the trending home décor category, and list the top 5 most popular items including their titles and prices.",True,True,True
12_05_2025_05_13_04_KAL_12_05_2025_05_13_04_yaD,12_05_2025_05_13_04_KAL,12_05_2025_05_13_04_yaD,Left,find me any recipe on food.com ,True,True,True
12_05_2025_05_10_20_GJx_12_05_2025_05_10_20_VeZ,12_05_2025_05_10_20_GJx,12_05_2025_05_10_20_VeZ,Left,Find me the cheapest per count neutral white A19 LED light bulbs on Amazon.com,True,True,True
14_05_2025_09_52_42_Acd_14_05_2025_09_52_42_Xhc,14_05_2025_09_52_42_Acd,14_05_2025_09_52_42_Xhc,Right,Go to the BBC News website and list the top five headlines currently featured on the homepage,False,False,False
14_05_2025_16_51_15_cDL_14_05_2025_16_51_15_rqG,14_05_2025_16_51_15_cDL,14_05_2025_16_51_15_rqG,Left,what are the top 5 headlines today on CP24?,False,False,False
14_05_2025_17_11_59_jbE_14_05_2025_17_11_59_xtG,14_05_2025_17_11_59_jbE,14_05_2025_17_11_59_xtG,Right,Compare flight prices to a one way trip to Montreal next Friday on different booking websites to find the cheapest flight,False,False,False
