Question,Model,Model_Choice,Human_Alignment,Consensus_Strength,Agent1_Pct,Agent2_Pct,Tie_Pct
Q1,Baseline,Agent 1,55.26315789473685,55.26315789473685,55.26315789473685,2.631578947368421,42.10526315789473
Q2,Baseline,Agent 1,99.12280701754386,99.12280701754386,99.12280701754386,0.8771929824561403,0.0
Q3,Baseline,Agent 1,61.40350877192983,61.40350877192983,61.40350877192983,16.666666666666664,21.929824561403507
Q4,Baseline,Agent 1,93.85964912280701,93.85964912280701,93.85964912280701,3.508771929824561,2.631578947368421
Q5,Baseline,Agent 1,18.421052631578945,71.05263157894737,18.421052631578945,10.526315789473683,71.05263157894737
Q6,Baseline,Agent 1,79.82456140350878,79.82456140350878,79.82456140350878,6.140350877192982,14.035087719298245
Q7,Baseline,Agent 1,31.57894736842105,58.77192982456141,31.57894736842105,9.649122807017543,58.77192982456141
Q8,Baseline,Agent 1,84.21052631578947,84.21052631578947,84.21052631578947,5.263157894736842,10.526315789473683
Q9,Baseline,Agent 1,71.9298245614035,71.9298245614035,71.9298245614035,13.157894736842104,14.912280701754385
Q10,Baseline,Agent 1,80.7017543859649,80.7017543859649,80.7017543859649,2.631578947368421,16.666666666666664
Q11,Baseline,Agent 1,24.561403508771928,68.42105263157895,24.561403508771928,7.017543859649122,68.42105263157895
Q12,Baseline,Agent 1,27.192982456140353,57.01754385964912,27.192982456140353,15.789473684210526,57.01754385964912
Q13,Baseline,Agent 1,83.33333333333334,83.33333333333334,83.33333333333334,11.403508771929824,5.263157894736842
Q16,Baseline,Agent 1,35.96491228070175,60.526315789473685,35.96491228070175,3.508771929824561,60.526315789473685
Q17,Baseline,Agent 1,32.45614035087719,59.64912280701754,32.45614035087719,7.894736842105263,59.64912280701754
Q18,Baseline,Agent 1,41.228070175438596,50.877192982456144,41.228070175438596,7.894736842105263,50.877192982456144
Q19,Baseline,Agent 2,71.05263157894737,71.05263157894737,9.649122807017543,71.05263157894737,19.298245614035086
Q20,Baseline,Agent 1,92.98245614035088,92.98245614035088,92.98245614035088,2.631578947368421,4.385964912280701
Q22,Baseline,Tie,56.14035087719298,56.14035087719298,20.175438596491226,23.684210526315788,56.14035087719298
Q1,GPT-4o,Agent 1,55.26315789473685,55.26315789473685,55.26315789473685,2.631578947368421,42.10526315789473
Q2,GPT-4o,Agent 1,99.12280701754386,99.12280701754386,99.12280701754386,0.8771929824561403,0.0
Q3,GPT-4o,Agent 1,61.40350877192983,61.40350877192983,61.40350877192983,16.666666666666664,21.929824561403507
Q4,GPT-4o,Agent 2,3.508771929824561,93.85964912280701,93.85964912280701,3.508771929824561,2.631578947368421
Q5,GPT-4o,Agent 2,10.526315789473683,71.05263157894737,18.421052631578945,10.526315789473683,71.05263157894737
Q6,GPT-4o,Agent 1,79.82456140350878,79.82456140350878,79.82456140350878,6.140350877192982,14.035087719298245
Q7,GPT-4o,Agent 1,31.57894736842105,58.77192982456141,31.57894736842105,9.649122807017543,58.77192982456141
Q8,GPT-4o,Agent 2,5.263157894736842,84.21052631578947,84.21052631578947,5.263157894736842,10.526315789473683
Q9,GPT-4o,Agent 2,13.157894736842104,71.9298245614035,71.9298245614035,13.157894736842104,14.912280701754385
Q10,GPT-4o,Agent 1,80.7017543859649,80.7017543859649,80.7017543859649,2.631578947368421,16.666666666666664
Q11,GPT-4o,Tie,68.42105263157895,68.42105263157895,24.561403508771928,7.017543859649122,68.42105263157895
Q12,GPT-4o,Agent 1,27.192982456140353,57.01754385964912,27.192982456140353,15.789473684210526,57.01754385964912
Q13,GPT-4o,Agent 2,11.403508771929824,83.33333333333334,83.33333333333334,11.403508771929824,5.263157894736842
Q16,GPT-4o,Agent 1,35.96491228070175,60.526315789473685,35.96491228070175,3.508771929824561,60.526315789473685
Q17,GPT-4o,Agent 1,32.45614035087719,59.64912280701754,32.45614035087719,7.894736842105263,59.64912280701754
Q18,GPT-4o,Agent 1,41.228070175438596,50.877192982456144,41.228070175438596,7.894736842105263,50.877192982456144
Q19,GPT-4o,Agent 2,71.05263157894737,71.05263157894737,9.649122807017543,71.05263157894737,19.298245614035086
Q20,GPT-4o,Agent 1,92.98245614035088,92.98245614035088,92.98245614035088,2.631578947368421,4.385964912280701
Q22,GPT-4o,Agent 2,23.684210526315788,56.14035087719298,20.175438596491226,23.684210526315788,56.14035087719298
