Question,Original_Annotator,New_Majority,Agent1_Votes,Agent2_Votes,Tie_Votes,Total_Responses,Agreement
Q1,Agent 1,Agent 1,14 (53.8%),2 (7.7%),10 (38.5%),26,Yes
Q10,Agent 1,Agent 1,22 (68.8%),6 (18.8%),4 (12.5%),32,Yes
Q11,Agent 1,Tie,4 (16.7%),2 (8.3%),18 (75.0%),24,No
Q12,Agent 1,Tie,7 (29.2%),5 (20.8%),12 (50.0%),24,No
Q13,Agent 1,Agent 1,31 (86.1%),4 (11.1%),1 (2.8%),36,Yes
Q16,Agent 1,Tie,8 (33.3%),3 (12.5%),13 (54.2%),24,No
Q17,Agent 1,Tie,8 (33.3%),4 (16.7%),12 (50.0%),24,No
Q18,Agent 1,Tie,8 (40.0%),4 (20.0%),8 (40.0%),20,No
Q19,Agent 2,Agent 2,7 (20.6%),18 (52.9%),9 (26.5%),34,Yes
Q2,Agent 1,Agent 1,23 (88.5%),1 (3.8%),2 (7.7%),26,Yes
Q20,Agent 1,Agent 1,18 (90.0%),1 (5.0%),1 (5.0%),20,Yes
Q22,Tie,Tie,4 (14.3%),9 (32.1%),15 (53.6%),28,Yes
Q3,Agent 1,Agent 1,17 (58.6%),5 (17.2%),7 (24.1%),29,Yes
Q4,Agent 1,Agent 1,26 (83.9%),4 (12.9%),1 (3.2%),31,Yes
Q5,Agent 1,Tie,8 (33.3%),5 (20.8%),11 (45.8%),24,No
Q6,Agent 1,Agent 1,21 (80.8%),4 (15.4%),1 (3.8%),26,Yes
Q7,Agent 1,Tie,11 (40.7%),2 (7.4%),14 (51.9%),27,No
Q8,Agent 1,Agent 1,19 (76.0%),6 (24.0%),0 (0.0%),25,Yes
Q9,Agent 1,Agent 1,22 (75.9%),5 (17.2%),2 (6.9%),29,Yes
