response_id,task_question,left_case_id,right_case_id,combined_case_id
R_3bTosQFDBqtDctM,Provide me a list of 3-letter words that begin with the letter w,03_05_2025_04_36_24_hCn,03_05_2025_04_36_24_DPn,03_05_2025_04_36_24_hCn_03_05_2025_04_36_24_DPn
R_5WTsQMyixQ131gQ,Give me a list of PS5 games that are on sale on the American PSN right now.,03_05_2025_04_39_44_lfl,03_05_2025_04_39_44_LpZ,03_05_2025_04_39_44_lfl_03_05_2025_04_39_44_LpZ
R_2rChKyQxW6CsarA,What is the lowest critic review score for Octopath Traveler on Metacritic?,03_05_2025_21_08_57_AQd,03_05_2025_21_08_57_Imc,03_05_2025_21_08_57_AQd_03_05_2025_21_08_57_Imc
R_27HW36c49iQaHPc,What was the trending price of gold in comparison to nasdaq in the last 60 days?,03_05_2025_21_12_20_pzJ,03_05_2025_21_12_20_HMD,03_05_2025_21_12_20_pzJ_03_05_2025_21_12_20_HMD
R_8RlJZchfkyM8I6M,give me ten recent news headlines in sports and news from bbc.co.uk.,07_05_2025_04_34_02_rNO,07_05_2025_04_34_02_sTM,07_05_2025_04_34_02_rNO_07_05_2025_04_34_02_sTM
R_7fxjid81FRxhXsO,What is the top 10 selling album currently on apple music?,07_05_2025_04_30_10_HuX,07_05_2025_04_30_10_Auk,07_05_2025_04_30_10_HuX_07_05_2025_04_30_10_Auk
R_6Nt89OLCdLufee1,visit the New York Times homepage and summarize the main story currently featured at the top of the page,07_05_2025_15_10_56_EiU,07_05_2025_15_10_56_hQu,07_05_2025_15_10_56_EiU_07_05_2025_15_10_56_hQu
R_2PiuMN7fPUZGvf3,Name the Top 10 headlines from BBC News,09_05_2025_19_57_33_HgY,09_05_2025_19_57_33_CFM,09_05_2025_19_57_33_HgY_09_05_2025_19_57_33_CFM
R_7HwtIQMgAzumcr7,What are the today's top headlines from Fox News?,09_05_2025_20_13_59_XFw,09_05_2025_20_13_59_wLl,09_05_2025_20_13_59_XFw_09_05_2025_20_13_59_wLl
R_7dqjXh90ZvIa3rH,"Please provide a list of the types of boats that can be rented at Piney Run Park in Eldersburg, Maryland and include the hourly rate. ",09_05_2025_20_11_09_SCY,09_05_2025_20_11_09_FrD,09_05_2025_20_11_09_SCY_09_05_2025_20_11_09_FrD
R_2pngZLZTEoWzKeV,create a list of the top 20 best selling nintendo switch games,09_05_2025_20_58_23_Idv,09_05_2025_20_58_23_unx,09_05_2025_20_58_23_Idv_09_05_2025_20_58_23_unx
R_7eDlNGi2GIol4WD,What are the first 5 video titles on youtube homepage?,09_05_2025_21_21_06_MSm,09_05_2025_21_21_06_kAA,09_05_2025_21_21_06_MSm_09_05_2025_21_21_06_kAA
R_2ozlzIOko5qUQiB,Check all ticket touting websites and find the cheapest ticket I can get to Man City vs Bournemouth on the 20th of May,09_05_2025_21_28_12_OnA,09_05_2025_21_28_12_RJD,09_05_2025_21_28_12_OnA_09_05_2025_21_28_12_RJD
R_5niMk8Hq8OAK5OW,a list of top 10 churches ,09_05_2025_21_30_52_Eso,09_05_2025_21_30_52_wcO,09_05_2025_21_30_52_Eso_09_05_2025_21_30_52_wcO
R_2dMiJQNgGTesd84,"Please review Glasgow Celtic's fixtures from this season 2024/2025 so far and tell me how many goals they have scored across all competitive competitions and then review the goals and give me the distribution of goals in 10 minute intervals of games, e.g.0-10 minutes, 11-20 minutes21-30 minutes etc all the way up to 90 minutes and then include injury time as a separate interval.",09_05_2025_21_42_22_kZY,09_05_2025_21_42_22_SdT,09_05_2025_21_42_22_kZY_09_05_2025_21_42_22_SdT
R_8wt7STKtbJLAHS3,"give me a recipe for making pasta with cheese from the top 3 cooking websites, make it environmentally sustainable.",09_05_2025_21_36_59_crp,09_05_2025_21_36_59_AvQ,09_05_2025_21_36_59_crp_09_05_2025_21_36_59_AvQ
R_1eUEZ3u2lJxihkN,List out the symptoms of Vitamin D deficiency from WebMd and any other medical website,09_05_2025_21_40_30_XjR,09_05_2025_21_40_30_YEs,09_05_2025_21_40_30_XjR_09_05_2025_21_40_30_YEs
R_3TyGUyodtUotDX6,Tell me different Plane ticket price from different websites for a one way trip from Ontario to Ottawa ,09_05_2025_21_41_14_YwM,09_05_2025_21_41_14_DvE,09_05_2025_21_41_14_YwM_09_05_2025_21_41_14_DvE
R_8NxLR6b2kD3g2a8,Compare prices of HP laptop model across different online retailers,09_05_2025_22_23_29_cgB,09_05_2025_22_23_29_IXB,09_05_2025_22_23_29_cgB_09_05_2025_22_23_29_IXB
R_7K1ysv6mGjgpiNj,Give me a summary of this week's best-selling crypto coins.,09_05_2025_22_39_53_FuI,09_05_2025_22_39_53_htb,09_05_2025_22_39_53_FuI_09_05_2025_22_39_53_htb
R_3Ea1qGxtNBUB1sx,get me online price details comparison of samsung qled 75 inch tv from 5 leading retailers in usa along with price from samsung website ,09_05_2025_22_44_26_YNT,09_05_2025_22_44_26_xEk,09_05_2025_22_44_26_YNT_09_05_2025_22_44_26_xEk
R_5r2m2MDD1lxdbeV,how is the weather today,09_05_2025_23_09_20_BUj,09_05_2025_23_09_20_MfC,09_05_2025_23_09_20_BUj_09_05_2025_23_09_20_MfC
R_2X6ddrI1v9IKBvF,What are today's top 5 political news in UK,10_05_2025_00_01_48_pTG,10_05_2025_00_01_48_LVO,10_05_2025_00_01_48_pTG_10_05_2025_00_01_48_LVO
R_2CCU5Z8Ziyymst9,What are today's top 10 most popular articles on buzzfeed?,10_05_2025_00_00_27_IAX,10_05_2025_00_00_27_TVe,10_05_2025_00_00_27_IAX_10_05_2025_00_00_27_TVe
R_1vrlsMfeylfab3H,is deportation the best solution for illegal migrants?,09_05_2025_23_49_59_oZV,09_05_2025_23_49_59_ugh,09_05_2025_23_49_59_oZV_09_05_2025_23_49_59_ugh
R_7WxuNjopoBhjby8,What are the names of the top 20 most frequently visited lakes in the world currently?,10_05_2025_01_25_04_TAY,10_05_2025_01_25_04_TTJ,10_05_2025_01_25_04_TAY_10_05_2025_01_25_04_TTJ
R_7QFMEAaLV7eZEtF,Find the titles and authors of the top 3 bestselling fiction books on Amazon's homepage today.,10_05_2025_01_14_08_PHv,10_05_2025_01_14_08_RLX,10_05_2025_01_14_08_PHv_10_05_2025_01_14_08_RLX
R_3Xp8VrfL51JTxeo,gifts under $25 for mother's day,10_05_2025_01_06_39_yrs,10_05_2025_01_06_39_PrQ,10_05_2025_01_06_39_yrs_10_05_2025_01_06_39_PrQ
R_37EEMMd99k5uhHD,Go to the New York Times website and find the most recent op-ed article related to climate change. Summarize the main argument of the piece.,10_05_2025_01_37_05_xIM,10_05_2025_01_37_05_jxR,10_05_2025_01_37_05_xIM_10_05_2025_01_37_05_jxR
R_3tUgVlbxBbjqdj3,"Check the IKEA website and find three coffee tables priced under $150 that are available for delivery. Write down their names, prices and one unique feature or material for each. ",10_05_2025_02_04_43_gWk,10_05_2025_02_04_43_lFr,10_05_2025_02_04_43_gWk_10_05_2025_02_04_43_lFr
R_5L4LEZv1oCOD6FP,What are today's top 20 headlines from Fox News?,10_05_2025_03_04_51_sSy,10_05_2025_03_04_51_idu,10_05_2025_03_04_51_sSy_10_05_2025_03_04_51_idu
R_7Cq0uOthuNR4isb,what are the fastest-growing tech startups in Toronto?,10_05_2025_03_16_40_dQm,10_05_2025_03_16_40_fSK,10_05_2025_03_16_40_dQm_10_05_2025_03_16_40_fSK
R_18IZK9dYB7HlvI2,"Go to the New York Times website, navigate to the 'Books' section, and summarize the review of the current week's featured fiction book.",10_05_2025_03_03_55_vsV,10_05_2025_03_03_55_Umi,10_05_2025_03_03_55_vsV_10_05_2025_03_03_55_Umi
R_6pEzMd1pozCN2rl,what are today's top 10 sports news headlines,10_05_2025_03_41_38_tUR,10_05_2025_03_41_38_ygE,10_05_2025_03_41_38_tUR_10_05_2025_03_41_38_ygE
R_4WOnkY90BzTg0S5,Please provide me with the top 5 articles which are displayed on stuff nz homepage,11_05_2025_04_28_09_hSQ,11_05_2025_04_28_09_efj,11_05_2025_04_28_09_hSQ_11_05_2025_04_28_09_efj
R_3iTaibaxR3aK2Jj,"Go to the BestBuy website and find the current top-rated wireless headphones under $200. Summarize the product name, price, and average customer rating of the top three options.",11_05_2025_04_36_50_zuh,11_05_2025_04_36_50_kRW,11_05_2025_04_36_50_zuh_11_05_2025_04_36_50_kRW
R_6f1c7Nucq5MKYZd,Create a list of the top 10 highest rated video games from IGN.,11_05_2025_04_50_35_dLM,11_05_2025_04_50_35_pjT,11_05_2025_04_50_35_dLM_11_05_2025_04_50_35_pjT
R_2CJZc8hehXkBLnv,Can you compile the list of the most affordable new built properties in manchester across different websites- specifically 3 to 4 bedroom houses with separate kitchens,11_05_2025_05_49_58_jgb,11_05_2025_05_49_58_HzF,11_05_2025_05_49_58_jgb_11_05_2025_05_49_58_HzF
R_8IBQO4jawl5217X,I want to ask which guitar is recommended for beginners on the acousticguitarforum.com,11_05_2025_06_07_59_mKb,11_05_2025_06_07_59_UZs,11_05_2025_06_07_59_mKb_11_05_2025_06_07_59_UZs
R_3eL8qVFifCN6Qen,Go to nba.com and compile a list of the top 10 NBA players with the most points scored over the past week.,11_05_2025_06_10_26_Lck,11_05_2025_06_10_26_QpD,11_05_2025_06_10_26_Lck_11_05_2025_06_10_26_QpD
R_3lga3THKv4zmVNt,"Go to the BBC News homepage, in the ''World' section, and list the top 5 headlines currently featured there.",11_05_2025_06_12_22_ScT,11_05_2025_06_12_22_GuP,11_05_2025_06_12_22_ScT_11_05_2025_06_12_22_GuP
R_1VmcdsM747OpghX,Who is the richest musician in the united states,11_05_2025_06_38_30_pBK,11_05_2025_06_38_30_Yxu,11_05_2025_06_38_30_pBK_11_05_2025_06_38_30_Yxu
R_5mxW8phloxcPrYi,What is today's most trending movies on netflix,11_05_2025_06_11_16_bVY,11_05_2025_06_11_16_zDI,11_05_2025_06_11_16_bVY_11_05_2025_06_11_16_zDI
R_2ZHym94qdXsdQ2H,"Find the top 5 most expensive books currently listed on AbeBooks.com and provide their titles, authors, and prices. Then compare these prices with listings for the same books on BookFinder.com if available.",11_05_2025_06_47_08_gAp,11_05_2025_06_47_08_Erz,11_05_2025_06_47_08_gAp_11_05_2025_06_47_08_Erz
R_5SBRXBWyxN3Hlrr,What are the top five songs on cmt.com?,11_05_2025_07_24_02_guO,11_05_2025_07_24_02_PwH,11_05_2025_07_24_02_guO_11_05_2025_07_24_02_PwH
R_2s6KSWLBvk6DQKd,"Find the top 5 most-viewed movies currently playing in theaters, according to IMDb's 'Most Popular Movies' list, and list their IMDb ratings.",11_05_2025_07_31_35_GLU,11_05_2025_07_31_35_atF,11_05_2025_07_31_35_GLU_11_05_2025_07_31_35_atF
