interaction_id,question_number,task_description,human_majority_vote,gpt4_vote,agrees,human_votes_left,human_votes_right,human_votes_tie,total_human_votes,gpt4_consistency_score,gpt4_unanimous,gpt4_sample_1,gpt4_sample_2,gpt4_sample_3,gpt4_sample_4,gpt4_sample_5,possible_task_refs,source_file,data_location
interaction_01,Q1,"How many nonstop flights to Las Vegas depart from Portland, Oregon every day and what airlines opera...",Left,Left,Yes,14,2,10,26,1.0,True,Left,Left,Left,Left,Left,03_05_2025_04_39_44_lfl vs 03_05_2025_04_39_44_LpZ; 07_05_2025_15_10_56_EiU vs 07_05_2025_15_10_56_hQu; 09_05_2025_20_58_23_Idv vs 09_05_2025_20_58_23_unx,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_02,Q2,Create a summary for the wikipedia article about Manchester Metrolink,Left,Left,Yes,23,1,2,26,1.0,True,Left,Left,Left,Left,Left,03_05_2025_04_39_44_lfl vs 03_05_2025_04_39_44_LpZ; 07_05_2025_15_10_56_EiU vs 07_05_2025_15_10_56_hQu; 09_05_2025_20_58_23_Idv vs 09_05_2025_20_58_23_unx,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_03,Q3,"Go to Etsy.com, browse the trending home décor category, and list the top 5 most popular items inclu...",Left,Tie,No,17,5,7,29,1.0,True,Left,Left,Left,Left,Left,03_05_2025_04_39_44_lfl vs 03_05_2025_04_39_44_LpZ; 07_05_2025_15_10_56_EiU vs 07_05_2025_15_10_56_hQu; 09_05_2025_20_58_23_Idv vs 09_05_2025_20_58_23_unx,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_04,Q4,find me any recipe on food.com,Left,Left,Yes,26,4,1,31,1.0,True,Left,Left,Left,Left,Left,03_05_2025_04_39_44_lfl vs 03_05_2025_04_39_44_LpZ; 07_05_2025_15_10_56_EiU vs 07_05_2025_15_10_56_hQu; 09_05_2025_20_58_23_Idv vs 09_05_2025_20_58_23_unx,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_05,Q5,visit the New York Times homepage and summarize the main story currently featured at the top of the ...,Tie,Left,No,8,5,11,24,0.5445140849964047,False,Left,Left,Left,Left,Right,N/A,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_06,Q6,Name the Top 10 headlines from BBC News,Left,Left,Yes,21,4,1,26,1.0,True,Left,Left,Left,Left,Left,03_05_2025_04_39_44_lfl vs 03_05_2025_04_39_44_LpZ; 07_05_2025_15_10_56_EiU vs 07_05_2025_15_10_56_hQu; 09_05_2025_20_58_23_Idv vs 09_05_2025_20_58_23_unx,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_07,Q7,What are the today's top headlines from Fox News?,Tie,Left,No,11,2,14,27,0.5445140849964047,False,Right,Right,Right,Left,Right,N/A,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_08,Q8,"Please provide a list of the types of boats that can be rented at Piney Run Park in Eldersburg, Mary...",Left,Left,Yes,19,6,0,25,1.0,True,Left,Left,Left,Left,Left,03_05_2025_04_39_44_lfl vs 03_05_2025_04_39_44_LpZ; 07_05_2025_15_10_56_EiU vs 07_05_2025_15_10_56_hQu; 09_05_2025_20_58_23_Idv vs 09_05_2025_20_58_23_unx,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_09,Q9,create a list of the top 20 best selling nintendo switch games,Left,Left,Yes,22,5,2,29,1.0,True,Left,Left,Left,Left,Left,03_05_2025_04_39_44_lfl vs 03_05_2025_04_39_44_LpZ; 07_05_2025_15_10_56_EiU vs 07_05_2025_15_10_56_hQu; 09_05_2025_20_58_23_Idv vs 09_05_2025_20_58_23_unx,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_10,Q10,a list of top 10 churches,Left,Left,Yes,22,6,4,32,1.0,True,Left,Left,Left,Left,Left,03_05_2025_04_39_44_lfl vs 03_05_2025_04_39_44_LpZ; 07_05_2025_15_10_56_EiU vs 07_05_2025_15_10_56_hQu; 09_05_2025_20_58_23_Idv vs 09_05_2025_20_58_23_unx,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_11,Q11,What are the top video titles on youtube homepage?,Tie,Left,No,4,2,18,24,1.0,True,Left,Left,Left,Left,Left,N/A,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_12,Q12,Check all ticket touting websites and find the cheapest ticket I can get to Man City vs Bournemouth ...,Tie,Left,No,7,5,12,24,1.0,True,Left,Left,Left,Left,Left,N/A,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_13,Q13,List out the symptoms of Vitamin D deficiency from WebMd and any other medical website,Left,Left,Yes,31,4,1,36,1.0,True,Left,Left,Left,Left,Left,03_05_2025_04_39_44_lfl vs 03_05_2025_04_39_44_LpZ; 07_05_2025_15_10_56_EiU vs 07_05_2025_15_10_56_hQu; 09_05_2025_20_58_23_Idv vs 09_05_2025_20_58_23_unx,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_14,Q16,What is the best Arcade Fire albums listed from best to worst?,Tie,Right,No,8,3,13,24,1.0,True,Right,Right,Right,Right,Right,N/A,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_15,Q17,What is the best Arcade Fire albums listed from best to worst?,Tie,Right,No,8,4,12,24,1.0,True,Right,Right,Right,Right,Right,N/A,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_16,Q18,"give me a recipe for making pasta with cheese from the top 3 cooking websites, make it environmental...",Tie,Left,No,8,4,8,20,1.0,True,Left,Left,Left,Left,Left,N/A,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_17,Q19,Tell me different Plane ticket price from different websites for a one way trip from Ontario to Otta...,Right,Left,No,7,18,9,34,1.0,True,Left,Left,Left,Left,Left,03_05_2025_04_36_24_hCn vs 03_05_2025_04_36_24_DPn; 03_05_2025_21_08_57_AQd vs 03_05_2025_21_08_57_Imc; 10_05_2025_01_37_05_xIM vs 10_05_2025_01_37_05_jxR,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_18,Q20,Compare prices of HP laptop model across different online retailers,Left,Left,Yes,18,1,1,20,1.0,True,Left,Left,Left,Left,Left,03_05_2025_04_39_44_lfl vs 03_05_2025_04_39_44_LpZ; 07_05_2025_15_10_56_EiU vs 07_05_2025_15_10_56_hQu; 09_05_2025_20_58_23_Idv vs 09_05_2025_20_58_23_unx,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
interaction_19,Q22,get me online price details comparison of samsung qled 75 inch tv from 5 leading retailers in usa al...,Tie,Right,No,4,9,15,28,1.0,True,Right,Right,Right,Right,Right,N/A,"ProlificBrowserArenaGIFFeedbackForm_May 14, 2025_22.32_usable_filtered.xlsx",agreement-results/data_updated/
