interaction_num,vote_type,user_task,side,model_name,gif_id,log_id,status
1,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,12_05_2025_03_54_21_KhV.gif,12_05_2025_03_54_21_KhV,FAILED
1,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,12_05_2025_03_54_21_dPl.gif,12_05_2025_03_54_21_dPl,FAILED
2,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,12_05_2025_04_05_21_mCX.gif,12_05_2025_04_05_21_mCX,SUCCESS
2,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,12_05_2025_04_05_21_eYC.gif,12_05_2025_04_05_21_eYC,FAILED
3,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,12_05_2025_03_56_29_aty.gif,12_05_2025_03_56_29_aty,FAILED
3,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,12_05_2025_03_56_29_nGd.gif,12_05_2025_03_56_29_nGd,FAILED
4,leftvote,find me any recipe on food.com,LEFT,google/gemini-2.5-pro-preview-03-25,12_05_2025_05_13_04_KAL.gif,12_05_2025_05_13_04_KAL,FAILED
4,leftvote,find me any recipe on food.com,RIGHT,anthropic/claude-3.7-sonnet:thinking,12_05_2025_05_13_04_yaD.gif,12_05_2025_05_13_04_yaD,FAILED
5,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,07_05_2025_15_10_56_EiU.gif,07_05_2025_15_10_56_EiU,SUCCESS
5,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,deepseek/deepseek-r1,07_05_2025_15_10_56_hQu.gif,07_05_2025_15_10_56_hQu,SUCCESS
6,leftvote,Name the Top 10 headlines from BBC News,LEFT,google/gemini-2.5-pro-preview-03-25,09_05_2025_19_57_33_HgY.gif,09_05_2025_19_57_33_HgY,SUCCESS
6,leftvote,Name the Top 10 headlines from BBC News,RIGHT,openai/o4-mini,09_05_2025_19_57_33_CFM.gif,09_05_2025_19_57_33_CFM,FAILED
7,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,09_05_2025_20_13_59_XFw.gif,09_05_2025_20_13_59_XFw,FAILED
7,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,09_05_2025_20_13_59_wLl.gif,09_05_2025_20_13_59_wLl,FAILED
8,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,anthropic/claude-3.7-sonnet:thinking,09_05_2025_20_11_09_SCY.gif,09_05_2025_20_11_09_SCY,FAILED
8,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,09_05_2025_20_11_09_FrD.gif,09_05_2025_20_11_09_FrD,FAILED
9,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,09_05_2025_20_58_23_Idv.gif,09_05_2025_20_58_23_Idv,FAILED
9,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,anthropic/claude-3.7-sonnet:thinking,09_05_2025_20_58_23_unx.gif,09_05_2025_20_58_23_unx,FAILED
10,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,09_05_2025_21_30_52_Eso.gif,09_05_2025_21_30_52_Eso,SUCCESS
10,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,anthropic/claude-3.7-sonnet:thinking,09_05_2025_21_30_52_wcO.gif,09_05_2025_21_30_52_wcO,FAILED
11,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,anthropic/claude-3.7-sonnet:thinking,09_05_2025_21_21_06_MSm.gif,09_05_2025_21_21_06_MSm,FAILED
11,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,09_05_2025_21_21_06_kAA.gif,09_05_2025_21_21_06_kAA,FAILED
12,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,anthropic/claude-3.7-sonnet:thinking,09_05_2025_21_28_12_OnA.gif,09_05_2025_21_28_12_OnA,FAILED
12,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,09_05_2025_21_28_12_RJD.gif,09_05_2025_21_28_12_RJD,FAILED
13,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,09_05_2025_21_40_30_XjR.gif,09_05_2025_21_40_30_XjR,FAILED
13,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,anthropic/claude-3.7-sonnet:thinking,09_05_2025_21_40_30_YEs.gif,09_05_2025_21_40_30_YEs,FAILED
14,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,09_05_2025_21_53_08_BHP.gif,09_05_2025_21_53_08_BHP,FAILED
14,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,meta-llama/llama-4-maverick,09_05_2025_21_53_08_Zvg.gif,09_05_2025_21_53_08_Zvg,SUCCESS
15,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,09_05_2025_21_53_08_BHP.gif,09_05_2025_21_53_08_BHP,FAILED
15,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,meta-llama/llama-4-maverick,09_05_2025_21_53_08_Zvg.gif,09_05_2025_21_53_08_Zvg,SUCCESS
16,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,09_05_2025_21_36_59_crp.gif,09_05_2025_21_36_59_crp,FAILED
