Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6816820df6bb220e5392ba42,612adba08b8235b31539c704,APPROVED,Not Applicable,2025-05-03T20:52:45.820000Z,2025-05-03T21:16:19.677000Z,2025-05-06T13:18:03.297000Z,2025-05-03T21:16:32.876811Z,1414.0,CRYM76XF,809,"English, Hungarian",33,Female,White,Hungary,United Kingdom,Hungary,English,No,Full-Time
6816821278c31cd9c2d35873,66c0e527746d984d9bff5f3f,APPROVED,Not Applicable,2025-05-03T20:52:45.108000Z,2025-05-03T21:15:02.651000Z,2025-05-06T13:16:56.099000Z,2025-05-03T21:15:03.108175Z,1338.0,CRYM76XF,967,"Chinese, English",33,Male,Asian,China,Canada,Canada,Chinese,Yes,Full-Time
6816825a5f3769663eae6ec0,67ef6e8e9bfc15c060497365,APPROVED,Not Applicable,2025-05-03T20:54:58.488000Z,2025-05-03T21:45:10.825000Z,2025-05-06T13:18:19.386000Z,2025-05-03T21:45:11.312404Z,3013.0,CRYM76XF,485,"English, French",52,Male,Mixed,Ireland,United States,United States,English,Yes,Full-Time
6816828fe1e3c31d841fe7d2,67be31866f5cf32a9c47a58f,APPROVED,Not Applicable,2025-05-03T20:59:22.045000Z,2025-05-03T22:00:07.190000Z,2025-05-07T01:36:23.830000Z,2025-05-03T22:00:07.682623Z,3646.0,CRYM76XF,222,English,31,Male,White,Canada,Canada,Canada,English,No,Full-Time
681682dd6e010974588fdccf,5d595e7b6c04b2001a1edb29,APPROVED,Not Applicable,2025-05-03T20:56:20.645000Z,2025-05-03T21:38:34.828000Z,2025-05-06T13:18:30.559000Z,2025-05-03T21:38:35.399597Z,2535.0,CRYM76XF,1129,English,54,Male,Black,Zimbabwe,United Kingdom,United Kingdom,English,No,Full-Time
681683ef846374d1fc3417db,6170cb31c3656859cca7cc57,APPROVED,Not Applicable,2025-05-03T21:04:07.090000Z,2025-05-03T21:12:56.792000Z,2025-05-07T01:37:20.901000Z,2025-05-03T21:12:57.301727Z,530.0,CRYM76XF,469,English,26,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
68168423c6d27352a85ff5b5,63d190d52bb71e0e81d868f2,APPROVED,Not Applicable,2025-05-03T21:01:28.406000Z,2025-05-03T21:34:39.652000Z,2025-05-07T01:36:48.816000Z,2025-05-03T21:34:40.160874Z,1992.0,CRYM76XF,2503,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681686585b39eab6fffcb03a,66b3e2632fcc33666e7a8574,APPROVED,Not Applicable,2025-05-03T21:10:54.248000Z,2025-05-03T21:32:01.055000Z,2025-05-07T01:38:06.084000Z,2025-05-03T21:32:01.565882Z,1267.0,CRYM76XF,974,English,31,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681686723357dd3442d11c9f,67e6b4c78b8b457f3bc6a866,APPROVED,Not Applicable,2025-05-03T21:11:42.932000Z,2025-05-03T22:06:43.134000Z,2025-05-07T01:38:18.504000Z,2025-05-03T22:06:43.908464Z,3301.0,CRYM76XF,101,English,52,Male,White,United States,United States,United States,English,No,Part-Time
681ae0199e91d5f76b6e414e,6396044f6ae489bb820c67a5,APPROVED,Not Applicable,2025-05-07T04:22:52.461000Z,2025-05-07T04:55:28.432000Z,2025-05-07T13:23:04.553000Z,2025-05-07T04:55:29.233982Z,1956.0,CRYM76XF,3129,English,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681ae019ac54106815a577ed,655be887bea58a8fa4cc9a48,APPROVED,Not Applicable,2025-05-07T04:27:01.579000Z,2025-05-07T05:04:30.248000Z,2025-05-07T13:23:14.945000Z,2025-05-07T05:04:30.658090Z,2249.0,CRYM76XF,319,"English, Other, Tagalog-Filipino",34,Female,Asian,Philippines,New Zealand,Philippines,Other,No,Full-Time
681ae031d734aa7d848616a5,67d2184896b0a15484e937da,APPROVED,Not Applicable,2025-05-07T04:23:16.080000Z,2025-05-07T05:00:38.580000Z,2025-05-07T13:23:17.312000Z,2025-05-07T05:00:39.183424Z,2243.0,CRYM76XF,438,English,25,Male,Asian,China,United States,United States,Cantonese,No,Unemployed (and job seeking)
681ae0911b25a94d161465e0,63d79fcd741f9cfb2f87152f,APPROVED,Not Applicable,2025-05-07T04:25:18.538000Z,2025-05-07T04:53:03.155000Z,2025-05-07T13:23:15.744000Z,2025-05-07T04:53:03.680337Z,1665.0,CRYM76XF,3741,English,49,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
681ae09382910655dc7a6cd5,6647e8618c77f7b938865d25,APPROVED,Not Applicable,2025-05-07T04:26:42.668000Z,2025-05-07T05:03:45.817000Z,2025-05-07T13:23:08.908000Z,2025-05-07T05:03:46.310909Z,2224.0,CRYM76XF,736,English,35,Male,Asian,Bangladesh,United Kingdom,Bangladesh,English,Yes,Full-Time
681ae093ccda68380e553ad9,6782e521cbe48b635ea6bf98,APPROVED,Not Applicable,2025-05-07T04:24:56.865000Z,2025-05-07T05:06:55.742000Z,2025-05-07T13:23:05.980000Z,2025-05-07T05:06:56.297281Z,2519.0,CRYM76XF,656,English,30,Male,Black,Germany,United States,United States,English,No,Other
681ae099954bae4c7da80368,5cbe04b4f429ff00159de30e,APPROVED,Not Applicable,2025-05-07T04:25:03.665000Z,2025-05-07T05:06:24.478000Z,2025-05-07T13:23:07.170000Z,2025-05-07T05:06:25.064966Z,2481.0,CRYM76XF,11296,English,39,Female,Black,Zimbabwe,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681ae0a08d9ac5dfd9205a3d,5d0a8a22c0fd80001626e38d,APPROVED,Not Applicable,2025-05-07T04:25:04.803000Z,2025-05-07T05:04:42.359000Z,2025-05-07T13:23:16.513000Z,2025-05-07T05:04:42.913503Z,2378.0,CRYM76XF,2401,English,34,Male,White,United States,United States,United States,English,No,Full-Time
681ae10df2c82dfbe773da4d,67ddd5ed0c68ca2f9c5ce73b,APPROVED,Not Applicable,2025-05-07T04:27:06.670000Z,2025-05-07T04:59:55.315000Z,2025-05-07T13:23:10.324000Z,2025-05-07T04:59:55.823813Z,1969.0,CRYM76XF,564,English,26,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
681ae184307648ac72168d52,67f59c77f837ba443d96bc47,APPROVED,Not Applicable,2025-05-07T04:28:58.198000Z,2025-05-07T04:59:30.762000Z,2025-05-07T13:23:13.160000Z,2025-05-07T05:03:35.993262Z,1833.0,CRYM76XF,133,"English, French, Italian, German, Spanish",40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681ae20108b45574a5f3da82,62c35e9517e15b36b957a678,APPROVED,Not Applicable,2025-05-07T04:31:23.778000Z,2025-05-07T13:26:10.528000Z,2025-05-07T13:26:10.772000Z,2025-05-07T13:26:11.025383Z,32087.0,Manual Completion,3136,"English, Spanish",38,Male,White,United States,United States,United States,English,No,Full-Time
681ae23c6bc34cd967dcc614,641e62a8191451d08e6c08f7,APPROVED,Not Applicable,2025-05-07T04:31:56.337000Z,2025-05-07T05:02:19.280000Z,2025-05-07T13:23:11.525000Z,2025-05-07T05:02:19.799060Z,1823.0,CRYM76XF,1648,English,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681ae3fb3b4921498ab05a68,5eed3df84fcaa015f3e06637,APPROVED,Not Applicable,2025-05-07T04:39:23.840000Z,2025-05-07T13:27:35.211000Z,2025-05-07T13:27:35.481000Z,2025-05-07T13:27:35.784489Z,31692.0,Manual Completion,897,English,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681ae4624af35a22fec80597,5b305b176d601d0001d5ea96,APPROVED,Not Applicable,2025-05-07T04:41:06.726000Z,2025-05-07T13:28:13.469000Z,2025-05-07T13:28:13.850000Z,2025-05-07T13:28:14.285763Z,31627.0,Manual Completion,1341,"English, Chinese",30,Male,Asian,Canada,Canada,Canada,Chinese,DATA_EXPIRED,DATA_EXPIRED
681ae54c43e46937a4f87ddd,67450bce7a49cb1c784dcc2b,APPROVED,Not Applicable,2025-05-07T04:45:09.077000Z,2025-05-07T13:28:30.948000Z,2025-05-07T13:28:31.205000Z,2025-05-07T13:28:31.451116Z,31402.0,Manual Completion,600,"English, Hindi, Punjabi, Urdu",25,Female,Asian,United States,United States,United States,English,No,Full-Time
681ae5b2fde2c8177bef7ad8,67abad8657f2530aae715e11,APPROVED,Not Applicable,2025-05-07T04:46:42.527000Z,2025-05-07T13:26:34.819000Z,2025-05-07T13:26:35.120000Z,2025-05-07T13:26:35.452021Z,31193.0,Manual Completion,306,"English, French",50,Male,White,United States,United States,United States,English,No,Full-Time
681ae5d21363f672fbc3d262,673272776cc79a6dfab966d1,APPROVED,Not Applicable,2025-05-07T04:47:14.850000Z,2025-05-07T13:24:51.001000Z,2025-05-07T13:24:51.350000Z,2025-05-07T13:24:51.712228Z,31057.0,Manual Completion,650,"English, French",30,Male,White,United States,United States,United States,English,No,Full-Time
681ae5d945d54049a3d3ebdb,66f1bdb73e78270b091f42cb,APPROVED,Not Applicable,2025-05-07T04:47:21.707000Z,2025-05-07T13:27:12.360000Z,2025-05-07T13:27:12.738000Z,2025-05-07T13:27:12.987497Z,31191.0,Manual Completion,266,"English, French",35,Male,White,United States,United States,United States,English,No,Full-Time
681ae5e9254d2f273020ae73,67d201ad406d1cf20f2fcb6f,APPROVED,Not Applicable,2025-05-07T04:47:37.354000Z,2025-05-07T13:26:51.884000Z,2025-05-07T13:26:52.121000Z,2025-05-07T13:26:52.344142Z,31155.0,Manual Completion,155,English,48,Male,White,United States,United States,United States,English,No,Full-Time
6816821610011feaecd4e14d,67f128cbba790167d00275fc,RETURNED,Not Applicable,2025-05-03T20:53:13.073000Z,,,,,,448,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68168356393613c9c6cc8602,5b09da13641b1200010eab05,RETURNED,Not Applicable,2025-05-03T20:57:58.881000Z,,,,,,1073,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
