Question,Original_Baseline,Human_V2_Majority,GPT4o_Exact,GPT4o_Confidence,V2_Agent1_Votes,V2_Agent2_Votes,V2_Tie_Votes,V2_Total,V2_Agreement_Rate,All_Three_Agree,Baseline_Human_Agree,Baseline_GPT4o_Agree,Human_GPT4o_Agree,entropy,consensus_strength,decisiveness,polarization
Q1,Agent 1,Agent 1,Agent 1,0.95,63,3,48,114,55.3%,True,True,True,True,1.136383674539534,55.26315789473685,57.89473684210527,4.545454545454546
Q2,Agent 1,Agent 1,Agent 1,0.95,113,1,0,114,99.1%,True,True,True,True,0.07253718299881004,99.12280701754386,100.0,0.8771929824561403
Q3,Agent 1,Agent 1,Agent 1,0.6,70,19,25,114,61.4%,True,True,True,True,1.342917744989795,61.40350877192983,78.0701754385965,21.34831460674157
Q4,Agent 1,Agent 1,Agent 2,0.75,107,4,3,114,93.9%,False,True,False,False,0.3934877769095996,93.85964912280701,97.36842105263158,3.6036036036036037
Q5,Agent 1,Tie,Agent 2,0.85,21,12,81,114,71.1%,False,False,False,False,1.1417841710010361,71.05263157894737,28.947368421052634,36.36363636363637
Q6,Agent 1,Agent 1,Agent 1,0.9,91,7,16,114,79.8%,True,True,True,True,0.9042865342306663,79.82456140350878,85.96491228070175,7.142857142857142
Q7,Agent 1,Tie,Agent 1,0.9,36,11,67,114,58.8%,False,False,True,False,1.3013196315541777,58.77192982456141,41.228070175438596,23.404255319148938
Q8,Agent 1,Agent 1,Agent 2,0.95,96,6,12,114,84.2%,False,True,False,False,0.7742433029172697,84.21052631578947,89.47368421052632,5.88235294117647
Q9,Agent 1,Agent 1,Agent 2,0.9,82,15,17,114,71.9%,False,True,False,False,1.136315526322054,71.9298245614035,85.08771929824562,15.463917525773196
Q10,Agent 1,Agent 1,Agent 1,0.85,92,3,19,114,80.7%,True,True,True,True,0.8185636087714366,80.7017543859649,83.33333333333334,3.1578947368421053
Q11,Agent 1,Tie,Tie,0.5,28,8,78,114,68.4%,False,False,False,True,1.1410714975957215,68.42105263157895,31.57894736842105,22.22222222222222
Q12,Agent 1,Tie,Agent 1,0.8,31,18,65,114,57.0%,False,False,True,False,1.393480860701546,57.01754385964912,42.98245614035088,36.734693877551024
Q13,Agent 1,Agent 1,Agent 2,0.75,95,13,6,114,83.3%,False,True,False,False,0.7999797147647313,83.33333333333334,94.73684210526315,12.037037037037036
Q16,Agent 1,Tie,Agent 1,0.9,41,4,69,114,60.5%,False,False,True,False,1.1386108939275918,60.526315789473685,39.473684210526315,8.88888888888889
Q17,Agent 1,Tie,Agent 1,0.9,37,9,68,114,59.6%,False,False,True,False,1.2607270953377676,59.64912280701754,40.35087719298245,19.565217391304348
Q18,Agent 1,Tie,Agent 1,0.8,47,9,58,114,50.9%,False,False,True,False,1.312206691715365,50.877192982456144,49.122807017543856,16.071428571428573
Q19,Agent 2,Agent 2,Agent 2,0.8,11,81,22,114,71.1%,True,True,True,True,1.1338628768955714,71.05263157894737,80.7017543859649,11.956521739130435
Q20,Agent 1,Agent 1,Agent 1,0.9,106,3,5,114,93.0%,True,True,True,True,0.43355583732001013,92.98245614035088,95.6140350877193,2.7522935779816518
Q22,Tie,Tie,Agent 2,0.8,23,27,64,114,56.1%,False,True,False,False,1.4256629304127684,56.14035087719298,43.859649122807014,46.0
