question,n_raters,majority_agreement,pairwise_agreement,fleiss_kappa,krippendorff_alpha
Q1,114,0.5526315789473685,0.4788076385654402,-0.008849557522123937,
Q10,114,0.8070175438596491,0.6769135227449153,-0.008849557522123873,
Q11,114,0.6842105263157895,0.5292656419810589,-0.008849557522123897,
Q12,114,0.5701754385964912,0.41887905604719766,-0.008849557522123864,
Q13,114,0.8333333333333334,0.7076540909796616,-0.008849557522124097,
Q16,114,0.6052631578947368,0.4924701133364384,-0.008849557522123996,
Q17,114,0.5964912280701754,0.4626610774724422,-0.008849557522123738,
Q18,114,0.5087719298245614,0.43005744449619626,-0.008849557522123977,
Q19,114,0.7105263157894737,0.5474305232106815,-0.00884955752212388,
Q2,114,0.9912280701754386,0.9824561403508771,-0.008849557522130222,
Q20,114,0.9298245614035088,0.8660145940071418,-0.008849557522124175,
Q22,114,0.5614035087719298,0.4067691352274492,-0.008849557522123777,
Q3,114,0.6140350877192983,0.448067070330694,-0.008849557522123918,
Q4,114,0.9385964912280702,0.8818506443098898,-0.008849557522124674,
Q5,114,0.7105263157894737,0.5458779692594318,-0.008849557522123807,
Q6,114,0.7982456140350878,0.6576618537494178,-0.008849557522124353,
Q7,114,0.5877192982456141,0.4496196242819438,-0.008849557522123878,
Q8,114,0.8421052631578947,0.720540288775035,-0.00884955752212334,
Q9,114,0.7192982456140351,0.5530197174351809,-0.008849557522123954,
