Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
681b74dda53b43f5018fbd6b,67c76a660dda825d216ecbb8,RETURNED,Not Applicable,2025-05-07T14:57:48.273000Z,,,2025-05-14T07:37:13.455304Z,,,67,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b74e9bdd01def6c9faa57,67dcb605238f96c9e73abec2,APPROVED,Not Applicable,2025-05-07T14:57:50.773000Z,2025-05-07T15:38:16.152000Z,2025-05-07T17:08:29.947000Z,2025-05-07T15:38:16.692958Z,2426.0,C41MHPUZ,373,35,Male,White,United States,United States,United States,English,Yes,Full-Time
681b74eed92aea90b6f8f08b,68126e4de7ac5948d1c7013b,APPROVED,Not Applicable,2025-05-07T14:58:06.080000Z,2025-05-07T15:46:52.449000Z,2025-05-07T17:08:59.546000Z,2025-05-07T15:46:53.013000Z,2927.0,C41MHPUZ,22,57,Male,White,United States,United States,United States,English,No,Part-Time
681b74fe0663872a962c2e9c,67edb211a7c1d23c1535d6b2,APPROVED,Not Applicable,2025-05-07T14:58:20.668000Z,2025-05-07T15:29:38.532000Z,2025-05-07T17:08:13.034000Z,2025-05-07T15:29:39.086364Z,1878.0,C41MHPUZ,273,41,Male,Black,United States,United States,United States,English,No,Full-Time
681b7565dcb1721b5e2c2edf,67eade9122bddfb4cd165d09,REJECTED,Not Applicable,2025-05-07T14:59:55.712000Z,2025-05-07T15:23:28.810000Z,2025-05-09T17:48:28.900000Z,2025-05-14T07:37:13.456803Z,1414.0,C41MHPUZ,536,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b75ab52fa97bca59e5746,680c8f5c8245fb7d7095402b,RETURNED,Not Applicable,2025-05-07T15:02:57.519000Z,,,2025-05-14T07:37:13.460481Z,,,113,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b75ddca326bf7ac708a3e,6647847aebad277cab0e44a9,RETURNED,Not Applicable,2025-05-07T15:01:58.940000Z,2025-05-07T15:40:27.602000Z,,2025-05-14T07:37:13.464785Z,,C41MHPUZ,320,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b75dfcb3a561872fe7a94,67def1ffa304d6e7be52ae22,APPROVED,Not Applicable,2025-05-07T15:01:58.492000Z,2025-05-07T16:05:01.166000Z,2025-05-07T17:09:20.136000Z,2025-05-07T16:05:01.782604Z,3783.0,C41MHPUZ,404,29,Female,White,United States,United States,United States,English,No,Other
681b75eb9037bb2ce9efcbf8,5d612ae16512d700159face7,RETURNED,Not Applicable,2025-05-07T15:02:12.734000Z,,,2025-05-14T07:37:13.464261Z,,,10477,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b75f851a256b0c2d003a0,67ca0274d3bd9d33cb0e6a8b,RETURNED,Not Applicable,2025-05-07T15:02:47.431000Z,,,2025-05-14T07:37:13.463929Z,,,371,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
