Question,Original_Vote,Human_V2_Majority,GPT4_Eval,V2_Agent1_Votes,V2_Agent2_Votes,V2_Ties_Excluded,V2_Total_No_Ties,V2_Agreement_Rate
Q2,Agent 1,Agent 1,Agent 1,113,1,0,114,99.1%
Q1,Agent 1,Agent 1,Agent 1,63,3,48,66,95.5%
Q3,Agent 1,Agent 1,Agent 1,70,19,25,89,78.7%
Q4,Agent 1,Agent 1,Agent 1,107,4,3,111,96.4%
Q5,Agent 1,Agent 1,Agent 1,21,12,81,33,63.6%
Q6,Agent 1,Agent 1,Agent 1,91,7,16,98,92.9%
Q7,Agent 1,Agent 1,Agent 1,36,11,67,47,76.6%
Q8,Agent 1,Agent 1,Agent 1,96,6,12,102,94.1%
Q9,Agent 1,Agent 1,Agent 1,82,15,17,97,84.5%
Q10,Agent 1,Agent 1,Agent 1,92,3,19,95,96.8%
Q11,Agent 1,Agent 1,Agent 1,28,8,78,36,77.8%
Q12,Agent 1,Agent 1,Agent 1,31,18,65,49,63.3%
Q13,Agent 1,Agent 1,Agent 1,95,13,6,108,88.0%
Q16,Agent 1,Agent 1,Agent 1,41,4,69,45,91.1%
Q17,Agent 1,Agent 1,Agent 1,37,9,68,46,80.4%
Q18,Agent 1,Agent 1,Agent 1,47,9,58,56,83.9%
Q20,Agent 1,Agent 1,Agent 1,106,3,5,109,97.2%
Q19,Agent 2,Agent 2,Agent 2,11,81,22,92,88.0%
