case_id,left_task,right_task,human_vote_original,human_vote_normalized,gpt4o_vote,agreement,gpt4o_confidence,gpt4o_reasoning,evaluation_status,error_type
03_05_2025_04_36_24_hCn_03_05_2025_04_36_24_DPn,03_05_2025_04_36_24_hCn,03_05_2025_04_36_24_DPn,Right,Right,Error,N/A,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Failed,API Key Error
03_05_2025_04_39_44_lfl_03_05_2025_04_39_44_LpZ,03_05_2025_04_39_44_lfl,03_05_2025_04_39_44_LpZ,Left,Left,Error,N/A,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Failed,API Key Error
03_05_2025_04_41_09_Gqg_03_05_2025_04_41_09_QzZ,03_05_2025_04_41_09_Gqg,03_05_2025_04_41_09_QzZ,Right,Right,Error,N/A,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Failed,API Key Error
03_05_2025_20_57_54_VhL_03_05_2025_20_57_54_dkz,03_05_2025_20_57_54_VhL,03_05_2025_20_57_54_dkz,Right,Right,Error,N/A,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Failed,API Key Error
03_05_2025_20_57_58_Nih_03_05_2025_20_57_58_cSG,03_05_2025_20_57_58_Nih,03_05_2025_20_57_58_cSG,Right,Right,Error,N/A,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Failed,API Key Error
03_05_2025_21_08_57_AQd_03_05_2025_21_08_57_Imc,03_05_2025_21_08_57_AQd,03_05_2025_21_08_57_Imc,Right,Right,Error,N/A,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Failed,API Key Error
03_05_2025_21_22_53_VdC_03_05_2025_21_22_53_yqc,03_05_2025_21_22_53_VdC,03_05_2025_21_22_53_yqc,Left,Left,Error,N/A,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Failed,API Key Error
07_05_2025_04_30_10_HuX_07_05_2025_04_30_10_Auk,07_05_2025_04_30_10_HuX,07_05_2025_04_30_10_Auk,Right,Right,Error,N/A,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Failed,API Key Error
07_05_2025_04_32_00_JSV_07_05_2025_04_32_00_iTj,07_05_2025_04_32_00_JSV,07_05_2025_04_32_00_iTj,Left,Left,Error,N/A,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Failed,API Key Error
07_05_2025_15_10_56_EiU_07_05_2025_15_10_56_hQu,07_05_2025_15_10_56_EiU,07_05_2025_15_10_56_hQu,Left,Left,Error,N/A,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Failed,API Key Error
07_05_2025_15_13_54_flC_07_05_2025_15_13_54_ndq,07_05_2025_15_13_54_flC,07_05_2025_15_13_54_ndq,Right,Right,Error,N/A,0.0,"Error during evaluation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**********************************************************************************************************************************************************8Aos. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Failed,API Key Error
