Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68159bdf2a02ccbfcddd9baa,5f34731aaf13c1394166f29b,APPROVED,Not Applicable,2025-05-03T04:30:29.188000Z,2025-05-03T04:48:55.864000Z,2025-05-03T16:37:37.460000Z,2025-05-03T04:48:56.380189Z,1107.0,CRYM76XF,183,"Spanish, English",23,Female,Other,Chile,Chile,Chile,Spanish,Yes,Unemployed (and job seeking)
68159c6094ddebb3a36b6fa3,6719637f62cec965e1fcb4fa,APPROVED,Not Applicable,2025-05-03T04:32:32.521000Z,2025-05-03T04:56:09.682000Z,2025-05-03T16:38:46.618000Z,2025-05-03T04:56:10.189747Z,1418.0,CRYM76XF,144,"English, Portuguese",29,Female,White,Brazil,Brazil,Brazil,Portuguese,No,Part-Time
68159c87d9f1cefd7cde8d0f,67da6c21bcd71cf297d8db10,APPROVED,Not Applicable,2025-05-03T04:33:11.669000Z,2025-05-03T05:04:52.516000Z,2025-05-03T16:39:17.145000Z,2025-05-03T05:04:53.047437Z,1901.0,CRYM76XF,79,English,39,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
68159c8afc3a7770bdff904f,67d7ef67392ea169a7d970a8,APPROVED,Not Applicable,2025-05-03T04:33:14.082000Z,2025-05-03T04:58:48.096000Z,2025-05-03T16:39:05.944000Z,2025-05-03T04:58:48.585827Z,1535.0,CRYM76XF,213,"Afrikaans, Chinese, Croatian, Dutch, English, French, Italian, Russian",41,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6815a2c68c9c2e594a39b4d5,67ee7e81aab6033ac314db9b,APPROVED,Not Applicable,2025-05-03T04:59:50.431000Z,2025-05-03T05:24:46.821000Z,2025-05-03T17:08:09.613000Z,2025-05-03T05:24:47.374802Z,1497.0,CRYM76XF,77,English,33,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6815b7678a31bfbd816c31fa,67d6f21e07069bfe931bd51b,APPROVED,Not Applicable,2025-05-03T06:27:51.907000Z,2025-05-03T06:56:20.330000Z,2025-05-03T16:59:54.247000Z,2025-05-03T06:56:20.878813Z,1709.0,CRYM76XF,48,"Afrikaans, Armenian, English, German, Spanish",22,Male,Black,South Africa,South Africa,South Africa,Afrikaans,No,Full-Time
68159bdb58ff95059c7ba803,62cd43d66c2dd7ae9ab53ae7,RETURNED,Not Applicable,2025-05-03T04:40:19.576000Z,,,,,,5899,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68159bdbed2556602d696771,67f133dcba790167d0027963,TIMED-OUT,Not Applicable,2025-05-03T04:30:22.896000Z,,,,1033968.0,,64,"Afrikaans, Arabic, Dutch, English, French, Romanian, Swahili, Other",26,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
68159bdce13bc47ccec0c059,67d11644421446068e1fec14,RETURNED,Not Applicable,2025-05-03T04:30:22.741000Z,2025-05-03T05:11:00.642000Z,,2025-05-03T05:11:01.104000Z,,CRYM76XF,178,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68159bdeedb2d53e9ec22913,67f139e0a8c12321ab2d0b02,RETURNED,Not Applicable,2025-05-03T04:30:30.073000Z,,,,,,710,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
