question,gpt4o_confidence,baseline_winner,confidence_source
Q1,0.7710526315789474,Agent 1,vote_type_average
Q10,0.7710526315789474,Agent 1,vote_type_average
Q11,0.7710526315789474,Agent 1,vote_type_average
Q12,0.7710526315789474,Agent 1,vote_type_average
Q13,0.7710526315789474,Agent 1,vote_type_average
Q14,0.878125,Agent 2,vote_type_average
Q15,0.878125,Agent 2,vote_type_average
Q16,0.7710526315789474,Agent 1,vote_type_average
Q17,0.7710526315789474,Agent 1,vote_type_average
Q18,0.7710526315789474,Agent 1,vote_type_average
Q19,0.878125,Agent 2,vote_type_average
Q2,0.7710526315789474,Agent 1,vote_type_average
Q20,0.7710526315789474,Agent 1,vote_type_average
Q21,0.7710526315789474,Agent 1,vote_type_average
Q23,0.7710526315789474,Agent 1,vote_type_average
Q24,0.7710526315789474,Agent 1,vote_type_average
Q25,0.878125,Agent 2,vote_type_average
Q3,0.7710526315789474,Agent 1,vote_type_average
Q4,0.7710526315789474,Agent 1,vote_type_average
Q5,0.7710526315789474,Agent 1,vote_type_average
Q6,0.7710526315789474,Agent 1,vote_type_average
Q7,0.7710526315789474,Agent 1,vote_type_average
Q8,0.7710526315789474,Agent 1,vote_type_average
Q9,0.7710526315789474,Agent 1,vote_type_average
